"Format","MoTeC CSV File"
"Venue","RULLITIS"
"Vehicle","ANDREW"
"Driver",""
"Device","RAJAGP"
"Comment","Exported by RAJAGP Client"
"Log Date","20/08/2026"
"Log Time","15:10:09"
"Sample Rate","10.000"
"Duration","198.800"
"Range","All"

"Time","Satellites","GPS Latitude","GPS Longitude","Ground Speed","GPS Heading","GPS Altitude","GPS Vert Speed","Distance","G Force Long","G Force Lat","G Force Combined","Brake","Acceleration","Lap Number","Lap Time","Lap Distance","GPS Fix"
"s","count","deg","deg","km/h","deg","m","km/h","m","g","g","g","g","m/s2","lap","s","m","state"

0.000,012,+56.5988125,+23.6903100,42.100,0.00,+0.00,+0.000,0.000,-0.120,-0.260,0.286,0.120,-1.230,1,0.091,0.000,4
0.100,012,+56.5988022,+23.6903066,41.530,0.00,+0.00,+0.000,1.162,-0.190,-0.400,0.443,0.190,-1.830,1,0.191,1.162,4
0.200,012,+56.5987921,+23.6903038,40.800,0.00,+0.00,+0.000,2.305,-0.200,-0.320,0.377,0.200,-1.950,1,0.291,2.305,4
0.300,012,+56.5987821,+23.6903017,40.140,0.00,+0.00,+0.000,3.429,-0.190,-0.270,0.330,0.190,-1.830,1,0.391,3.429,4
0.400,012,+56.5987722,+23.6903002,39.530,0.00,+0.00,+0.000,4.536,-0.170,-0.180,0.248,0.170,-1.710,1,0.491,4.536,4
0.500,012,+56.5987624,+23.6902989,38.990,0.00,+0.00,+0.000,5.626,-0.140,-0.100,0.172,0.140,-1.350,1,0.591,5.626,4
0.600,012,+56.5987528,+23.6902976,38.430,0.00,+0.00,+0.000,6.702,-0.170,-0.060,0.180,0.170,-1.710,1,0.691,6.702,4
0.700,012,+56.5987434,+23.6902963,37.770,0.00,+0.00,+0.000,7.760,-0.190,+0.000,0.190,0.190,-1.830,1,0.791,7.760,4
0.800,012,+56.5987341,+23.6902950,37.020,0.00,+0.00,+0.000,8.799,-0.220,+0.000,0.220,0.220,-2.190,1,0.891,8.799,4
0.900,012,+56.5987250,+23.6902938,36.210,0.00,+0.00,+0.000,9.816,-0.230,+0.000,0.230,0.230,-2.300,1,0.991,9.816,4
1.000,012,+56.5987161,+23.6902926,35.500,0.00,+0.00,+0.000,10.812,-0.180,+0.000,0.180,0.180,-1.780,1,1.091,10.812,4
