"Format","MoTeC CSV File"
"Venue","RULLITIS"
"Vehicle","JULIA"
"Driver",""
"Device","RAJAGP"
"Comment","Exported by RAJAGP Client"
"Log Date","20/08/2026"
"Log Time","11:11:40"
"Sample Rate","10.000"
"Duration","199.300"
"Range","All"

"Time","Satellites","GPS Latitude","GPS Longitude","Ground Speed","GPS Heading","GPS Altitude","GPS Vert Speed","Distance","G Force Long","G Force Lat","G Force Combined","Brake","Acceleration","Lap Number","Lap Time","Lap Distance","GPS Fix"
"s","count","deg","deg","km/h","deg","m","km/h","m","g","g","g","g","m/s2","lap","s","m","state"

0.000,012,+56.5988189,+23.6903126,42.180,0.00,+0.00,+0.000,0.000,-0.090,-0.160,0.184,0.090,-0.840,1,0.028,0.000,4
0.100,012,+56.5988087,+23.6903087,41.750,0.00,+0.00,+0.000,1.166,-0.150,-0.350,0.381,0.150,-1.440,1,0.128,1.166,4
0.200,012,+56.5987985,+23.6903055,41.100,0.00,+0.00,+0.000,2.316,-0.210,-0.410,0.461,0.210,-2.040,1,0.228,2.316,4
0.300,012,+56.5987885,+23.6903030,40.300,0.00,+0.00,+0.000,3.447,-0.230,-0.310,0.386,0.230,-2.290,1,0.328,3.447,4
0.400,012,+56.5987786,+23.6903012,39.560,0.00,+0.00,+0.000,4.556,-0.200,-0.220,0.297,0.200,-1.930,1,0.428,4.556,4
0.500,012,+56.5987689,+23.6902998,38.860,0.00,+0.00,+0.000,5.645,-0.180,-0.130,0.222,0.180,-1.810,1,0.528,5.645,4
0.600,012,+56.5987593,+23.6902985,38.250,0.00,+0.00,+0.000,6.716,-0.150,-0.090,0.175,0.150,-1.450,1,0.628,6.716,4
0.700,012,+56.5987499,+23.6902972,37.680,0.00,+0.00,+0.000,7.771,-0.180,-0.020,0.181,0.180,-1.810,1,0.728,7.771,4
0.800,012,+56.5987406,+23.6902959,36.940,0.00,+0.00,+0.000,8.807,-0.220,+0.000,0.220,0.220,-2.170,1,0.828,8.807,4
0.900,012,+56.5987315,+23.6902947,36.150,0.00,+0.00,+0.000,9.822,-0.230,+0.000,0.230,0.230,-2.290,1,0.928,9.822,4
1.000,012,+56.5987226,+23.6902935,35.420,0.00,+0.00,+0.000,10.816,-0.190,+0.000,0.190,0.190,-1.870,1,1.028,10.816,4
